Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-11 10:24:55,false,"Cobb County Running","1.52","158","00:14:29","157","170","2.8","167","176","9:33","8:49","33","34","1.01","0.0","0.0","0.0","0.0","0.0","14:29","0:00","0.0","0:00","No","04:47.59","2","0.0"
Running,2020-06-09 10:00:20,false,"Cobb County Running","2.01","204","00:18:23","159","166","3.1","169","176","9:10","8:30","32","28","1.04","0.0","0.0","0.0","0.0","0.0","18:23","0:00","0.0","0:00","No","00:02.38","3","0.0"
Running,2020-06-07 09:48:58,false,"Cobb County Running","1.76","184","00:16:16","163","176","3.1","169","178","9:15","8:38","16","12","1.03","0.0","0.0","0.0","0.0","0.0","16:16","0:00","0.0","0:00","No","06:54.75","2","0.0"
Running,2020-06-05 09:17:43,false,"Cobb County Running","1.75","187","00:16:36","160","174","3.0","167","176","9:28","8:47","25","24","1.02","0.0","0.0","0.0","0.0","0.0","16:36","0:00","0.0","0:00","No","06:53.99","2","0.0"
Running,2020-06-03 10:01:10,false,"Cobb County Running","1.75","175","00:16:24","153","158","2.8","166","173","9:22","8:17","9","7","1.04","0.0","0.0","0.0","0.0","0.0","16:24","0:00","0.0","0:00","No","06:46.52","2","0.0"
Running,2020-06-01 10:24:13,false,"Cobb County Running","1.01","87","00:09:25.7","141","152","2.0","165","175","9:21","8:29","10","--","1.04","0.0","0.0","0.0","0.0","0.0","9:25.7","0:00","0.0","0:00","No","00:04.51","2","0.0"
Running,2020-05-31 10:15:27,false,"Cobb County Running","1.50","158","00:14:22","158","173","2.8","164","173","9:33","8:51","6","--","1.03","0.0","0.0","0.0","0.0","0.0","14:22","0:00","0.0","0:00","No","04:37.79","2","0.0"
Running,2020-05-29 10:54:29,false,"Cobb County Running","1.52","163","00:14:40","159","174","2.9","163","171","9:38","8:56","--","--","1.03","0.0","0.0","0.0","0.0","0.0","14:40","0:00","0.0","0:00","No","04:59.04","2","0.0"
Running,2020-05-27 12:20:01,false,"Cobb County Running","1.36","115","00:12:30","140","146","2.1","166","173","9:12","8:52","137","141","1.05","0.0","0.0","0.0","0.0","0.0","12:30","0:00","0.0","0:00","No","03:21.06","2","0.0"
Running,2020-05-25 11:01:54,false,"Cobb County Running","1.03","111","00:09:58.9","159","170","2.5","166","175","9:44","8:39","--","--","1.00","0.0","0.0","0.0","0.0","0.0","9:58.9","0:00","0.0","0:00","No","00:11.76","2","0.0"
Running,2020-05-21 13:03:04,false,"Cobb County Running","1.19","127","00:11:16","161","171","2.6","165","171","9:28","8:49","--","10","1.03","0.0","0.0","0.0","0.0","0.0","11:16","0:00","0.0","0:00","No","01:47.10","2","0.0"
Running,2020-05-19 12:46:16,false,"Cobb County Running","1.33","142","00:12:32","161","177","2.7","164","171","9:26","9:04","--","--","1.04","0.0","0.0","0.0","0.0","0.0","12:32","0:00","0.0","0:00","No","03:01.96","2","0.0"
